%Energy, xr0, xi0, xrh, xih, delta, QB
   7.00000000000000000000, -0.38398E-04, 0.14045E-05, 0.22736E-04, 0.13067E-05, 0.19199E-04, 38.764
   7.10000000000000000000, -0.37300E-04, 0.13294E-05, 0.22077E-04, 0.12370E-05, 0.18650E-04, 38.118
   7.20000000000000000000, -0.36248E-04, 0.12592E-05, 0.21446E-04, 0.11719E-05, 0.18124E-04, 37.497
   7.30000000000000000000, -0.35238E-04, 0.11936E-05, 0.20840E-04, 0.11111E-05, 0.17619E-04, 36.897
   7.40000000000000000000, -0.34268E-04, 0.11322E-05, 0.20259E-04, 0.10541E-05, 0.17134E-04, 36.318
   7.50000000000000000000, -0.33337E-04, 0.10747E-05, 0.19700E-04, 0.10008E-05, 0.16669E-04, 35.758
   7.60000000000000000000, -0.32442E-04, 0.10209E-05, 0.19163E-04, 0.95080E-06, 0.16221E-04, 35.217
   7.70000000000000000000, -0.31582E-04, 0.97037E-06, 0.18646E-04, 0.90390E-06, 0.15791E-04, 34.694
   7.80000000000000000000, -0.30754E-04, 0.92295E-06, 0.18149E-04, 0.85986E-06, 0.15377E-04, 34.187
   7.90000000000000000000, -0.29956E-04, 0.87840E-06, 0.17670E-04, 0.81848E-06, 0.14978E-04, 33.695
   8.00000000000000000000, -0.29188E-04, 0.83651E-06, 0.17209E-04, 0.77956E-06, 0.14594E-04, 33.219
   8.10000000000000000000, -0.28448E-04, 0.79709E-06, 0.16764E-04, 0.74294E-06, 0.14224E-04, 32.757
   8.20000000000000000000, -0.27734E-04, 0.75998E-06, 0.16335E-04, 0.70845E-06, 0.13867E-04, 32.309
   8.30000000000000000000, -0.27046E-04, 0.72500E-06, 0.15921E-04, 0.67594E-06, 0.13523E-04, 31.873
   8.40000000000000000000, -0.26381E-04, 0.69202E-06, 0.15520E-04, 0.64528E-06, 0.13191E-04, 31.450
   8.50000000000000000000, -0.25739E-04, 0.66090E-06, 0.15134E-04, 0.61635E-06, 0.12869E-04, 31.039
   8.60000000000000000000, -0.25118E-04, 0.63152E-06, 0.14760E-04, 0.58902E-06, 0.12559E-04, 30.639
   8.70000000000000000000, -0.24518E-04, 0.60375E-06, 0.14398E-04, 0.56320E-06, 0.12259E-04, 30.249
   8.80000000000000000000, -0.23938E-04, 0.57750E-06, 0.14047E-04, 0.53878E-06, 0.11969E-04, 29.870
   8.90000000000000000000, -0.23375E-04, 0.55266E-06, 0.13708E-04, 0.51567E-06, 0.11688E-04, 29.501
   9.00000000000000000000, -0.22831E-04, 0.52915E-06, 0.13378E-04, 0.49379E-06, 0.11415E-04, 29.142
   9.10000000000000000000, -0.22303E-04, 0.50687E-06, 0.13059E-04, 0.47306E-06, 0.11151E-04, 28.791
   9.20000000000000000000, -0.21791E-04, 0.48576E-06, 0.12748E-04, 0.45341E-06, 0.10895E-04, 28.450
   9.30000000000000000000, -0.21294E-04, 0.46574E-06, 0.12446E-04, 0.43478E-06, 0.10647E-04, 28.116
   9.40000000000000000000, -0.20811E-04, 0.44675E-06, 0.12152E-04, 0.41709E-06, 0.10405E-04, 27.791
   9.50000000000000000000, -0.20341E-04, 0.42871E-06, 0.11866E-04, 0.40030E-06, 0.10171E-04, 27.474
   9.60000000000000000000, -0.19884E-04, 0.41158E-06, 0.11586E-04, 0.38435E-06, 0.99420E-05, 27.164
   9.70000000000000000000, -0.19439E-04, 0.39530E-06, 0.11313E-04, 0.36918E-06, 0.97194E-05, 26.861
   9.80000000000000000000, -0.19004E-04, 0.37982E-06, 0.11046E-04, 0.35476E-06, 0.95021E-05, 26.565
   9.90000000000000000000, -0.18580E-04, 0.36509E-06, 0.10784E-04, 0.34104E-06, 0.92898E-05, 26.276
   10.00000000000000000000, -0.18164E-04, 0.35107E-06, 0.10526E-04, 0.32797E-06, 0.90820E-05, 25.994
   10.10000000000000000000, -0.17756E-04, 0.33771E-06, 0.10271E-04, 0.31553E-06, 0.88781E-05, 25.718
   10.20000000000000000000, -0.17355E-04, 0.32499E-06, 0.10019E-04, 0.30368E-06, 0.86775E-05, 25.447
   10.30000000000000000000, -0.16959E-04, 0.31286E-06, 0.97684E-05, 0.29237E-06, 0.84794E-05, 25.183
   10.40000000000000000000, -0.16566E-04, 0.30130E-06, 0.95166E-05, 0.28159E-06, 0.82828E-05, 24.924
   10.50000000000000000000, -0.16173E-04, 0.29026E-06, 0.92616E-05, 0.27130E-06, 0.80863E-05, 24.671
   10.60000000000000000000, -0.15776E-04, 0.27973E-06, 0.89996E-05, 0.26148E-06, 0.78878E-05, 24.423
   10.70000000000000000000, -0.15368E-04, 0.26967E-06, 0.87244E-05, 0.25211E-06, 0.76840E-05, 24.180
   10.80000000000000000000, -0.14937E-04, 0.26007E-06, 0.84243E-05, 0.24314E-06, 0.74686E-05, 23.942
   10.90000000000000000000, -0.14456E-04, 0.25088E-06, 0.80734E-05, 0.23458E-06, 0.72278E-05, 23.709
   11.00000000000000000000, -0.13836E-04, 0.24210E-06, 0.75896E-05, 0.22639E-06, 0.69181E-05, 23.480
   11.10000000000000000000, -0.11749E-04, 0.32524E-06, 0.57178E-05, 0.30703E-06, 0.58747E-05, 23.256
   11.20000000000000000000, -0.13380E-04, 0.18631E-05, 0.73523E-05, 0.17555E-05, 0.66898E-05, 23.036
   11.30000000000000000000, -0.13550E-04, 0.18043E-05, 0.76062E-05, 0.16999E-05, 0.67751E-05, 22.821
   11.40000000000000000000, -0.13549E-04, 0.17478E-05, 0.76956E-05, 0.16466E-05, 0.67745E-05, 22.610
   11.50000000000000000000, -0.13480E-04, 0.16934E-05, 0.77186E-05, 0.15953E-05, 0.67399E-05, 22.402
   11.60000000000000000000, -0.13375E-04, 0.16412E-05, 0.77057E-05, 0.15461E-05, 0.66876E-05, 22.199
   11.70000000000000000000, -0.13249E-04, 0.15911E-05, 0.76708E-05, 0.14987E-05, 0.66247E-05, 21.999
   11.80000000000000000000, -0.13111E-04, 0.15428E-05, 0.76214E-05, 0.14532E-05, 0.65553E-05, 21.803
   11.90000000000000000000, -0.12963E-04, 0.14964E-05, 0.75618E-05, 0.14094E-05, 0.64816E-05, 21.611
