#Energy, xr0, xi0, xrh, xih, delta, QB
   7.00000000000000000000, -0.40482E-04, 0.54272E-05, 0.24274E-04, 0.47921E-05, 0.20241E-04, 33.145
   7.10000000000000000000, -0.39393E-04, 0.53897E-05, 0.23633E-04, 0.47416E-05, 0.19697E-04, 32.620
   7.20000000000000000000, -0.38345E-04, 0.51243E-05, 0.23016E-04, 0.45082E-05, 0.19173E-04, 32.112
   7.30000000000000000000, -0.37337E-04, 0.48752E-05, 0.22420E-04, 0.42892E-05, 0.18668E-04, 31.621
   7.40000000000000000000, -0.36366E-04, 0.46414E-05, 0.21846E-04, 0.40836E-05, 0.18183E-04, 31.145
   7.50000000000000000000, -0.35430E-04, 0.44217E-05, 0.21292E-04, 0.38904E-05, 0.17715E-04, 30.684
   7.60000000000000000000, -0.34529E-04, 0.42150E-05, 0.20757E-04, 0.37087E-05, 0.17265E-04, 30.238
   7.70000000000000000000, -0.33661E-04, 0.42159E-05, 0.20242E-04, 0.36982E-05, 0.16830E-04, 29.805
   7.80000000000000000000, -0.32823E-04, 0.40158E-05, 0.19744E-04, 0.35227E-05, 0.16412E-04, 29.385
   7.90000000000000000000, -0.32016E-04, 0.38275E-05, 0.19263E-04, 0.33576E-05, 0.16008E-04, 28.978
   8.00000000000000000000, -0.31237E-04, 0.36502E-05, 0.18799E-04, 0.32021E-05, 0.15618E-04, 28.582
   8.10000000000000000000, -0.30485E-04, 0.34830E-05, 0.18351E-04, 0.30555E-05, 0.15242E-04, 28.197
   8.20000000000000000000, -0.29759E-04, 0.33253E-05, 0.17917E-04, 0.29173E-05, 0.14879E-04, 27.823
   8.30000000000000000000, -0.29058E-04, 0.31765E-05, 0.17499E-04, 0.27868E-05, 0.14529E-04, 27.460
   8.40000000000000000000, -0.28381E-04, 0.30360E-05, 0.17094E-04, 0.26636E-05, 0.14190E-04, 27.106
   8.50000000000000000000, -0.27726E-04, 0.29032E-05, 0.16702E-04, 0.25471E-05, 0.13863E-04, 26.761
   8.60000000000000000000, -0.27094E-04, 0.27776E-05, 0.16324E-04, 0.24370E-05, 0.13547E-04, 26.426
   8.70000000000000000000, -0.26482E-04, 0.26587E-05, 0.15957E-04, 0.23328E-05, 0.13241E-04, 26.099
   8.80000000000000000000, -0.25890E-04, 0.25462E-05, 0.15603E-04, 0.22341E-05, 0.12945E-04, 25.780
   8.90000000000000000000, -0.25318E-04, 0.24396E-05, 0.15259E-04, 0.21406E-05, 0.12659E-04, 25.470
   9.00000000000000000000, -0.24764E-04, 0.23385E-05, 0.14927E-04, 0.20520E-05, 0.12382E-04, 25.167
   9.10000000000000000000, -0.24227E-04, 0.22426E-05, 0.14605E-04, 0.19680E-05, 0.12114E-04, 24.872
   9.20000000000000000000, -0.23707E-04, 0.21516E-05, 0.14293E-04, 0.18882E-05, 0.11854E-04, 24.583
   9.30000000000000000000, -0.23204E-04, 0.20652E-05, 0.13990E-04, 0.18124E-05, 0.11602E-04, 24.302
   9.40000000000000000000, -0.22716E-04, 0.19832E-05, 0.13697E-04, 0.17404E-05, 0.11358E-04, 24.027
   9.50000000000000000000, -0.22243E-04, 0.19051E-05, 0.13413E-04, 0.16720E-05, 0.11122E-04, 23.758
   9.60000000000000000000, -0.21785E-04, 0.18309E-05, 0.13137E-04, 0.16069E-05, 0.10892E-04, 23.496
   9.70000000000000000000, -0.21340E-04, 0.17603E-05, 0.12869E-04, 0.15450E-05, 0.10670E-04, 23.239
   9.80000000000000000000, -0.20908E-04, 0.16931E-05, 0.12610E-04, 0.14860E-05, 0.10454E-04, 22.988
   9.90000000000000000000, -0.20490E-04, 0.16290E-05, 0.12357E-04, 0.14299E-05, 0.10245E-04, 22.743
   10.00000000000000000000, -0.20083E-04, 0.15680E-05, 0.12113E-04, 0.13764E-05, 0.10042E-04, 22.503
   10.10000000000000000000, -0.19689E-04, 0.15098E-05, 0.11875E-04, 0.13253E-05, 0.98443E-05, 22.268
   10.20000000000000000000, -0.19305E-04, 0.14543E-05, 0.11644E-04, 0.12767E-05, 0.96526E-05, 22.038
   10.30000000000000000000, -0.18933E-04, 0.14013E-05, 0.11419E-04, 0.12302E-05, 0.94664E-05, 21.813
   10.40000000000000000000, -0.18571E-04, 0.13508E-05, 0.11201E-04, 0.11859E-05, 0.92855E-05, 21.593
   10.50000000000000000000, -0.18219E-04, 0.13025E-05, 0.10989E-04, 0.11435E-05, 0.91096E-05, 21.377
   10.60000000000000000000, -0.17877E-04, 0.12564E-05, 0.10783E-04, 0.11030E-05, 0.89386E-05, 21.166
   10.70000000000000000000, -0.17545E-04, 0.12122E-05, 0.10582E-04, 0.10643E-05, 0.87723E-05, 20.959
   10.80000000000000000000, -0.17221E-04, 0.11701E-05, 0.10387E-04, 0.10273E-05, 0.86105E-05, 20.756
   10.90000000000000000000, -0.16906E-04, 0.11297E-05, 0.10197E-04, 0.99194E-06, 0.84532E-05, 20.556
   11.00000000000000000000, -0.16600E-04, 0.10911E-05, 0.10012E-04, 0.95806E-06, 0.83000E-05, 20.361
   11.10000000000000000000, -0.16302E-04, 0.10541E-05, 0.98325E-05, 0.92562E-06, 0.81509E-05, 20.170
   11.20000000000000000000, -0.16012E-04, 0.10187E-05, 0.96573E-05, 0.89455E-06, 0.80058E-05, 19.982
   11.30000000000000000000, -0.15729E-04, 0.98475E-06, 0.94866E-05, 0.86477E-06, 0.78644E-05, 19.798
   11.40000000000000000000, -0.15454E-04, 0.95223E-06, 0.93204E-05, 0.83624E-06, 0.77268E-05, 19.617
   11.50000000000000000000, -0.15185E-04, 0.92104E-06, 0.91584E-05, 0.80887E-06, 0.75926E-05, 19.439
