#Energy, xr0, xi0, xrh, xih, delta, QB
   7.00000000000000000000, -0.20044E-04, 0.60292E-06, 0.10241E-04, 0.55726E-06, 0.10022E-04, 40.713
   7.10000000000000000000, -0.19479E-04, 0.57050E-06, 0.99502E-05, 0.52737E-06, 0.97393E-05, 40.022
   7.20000000000000000000, -0.18937E-04, 0.54021E-06, 0.96714E-05, 0.49944E-06, 0.94683E-05, 39.357
   7.30000000000000000000, -0.18417E-04, 0.51191E-06, 0.94040E-05, 0.47333E-06, 0.92084E-05, 38.717
   7.40000000000000000000, -0.17918E-04, 0.48543E-06, 0.91475E-05, 0.44890E-06, 0.89591E-05, 38.099
   7.50000000000000000000, -0.17439E-04, 0.46063E-06, 0.89013E-05, 0.42602E-06, 0.87197E-05, 37.502
   7.60000000000000000000, -0.16980E-04, 0.43739E-06, 0.86649E-05, 0.40458E-06, 0.84898E-05, 36.926
   7.70000000000000000000, -0.16538E-04, 0.41559E-06, 0.84378E-05, 0.38446E-06, 0.82688E-05, 36.368
   7.80000000000000000000, -0.16113E-04, 0.39513E-06, 0.82194E-05, 0.36558E-06, 0.80563E-05, 35.829
   7.90000000000000000000, -0.15704E-04, 0.37591E-06, 0.80094E-05, 0.34783E-06, 0.78519E-05, 35.307
   8.00000000000000000000, -0.15310E-04, 0.35784E-06, 0.78073E-05, 0.33115E-06, 0.76552E-05, 34.802
   8.10000000000000000000, -0.14931E-04, 0.34083E-06, 0.76127E-05, 0.31545E-06, 0.74657E-05, 34.312
   8.20000000000000000000, -0.14566E-04, 0.32482E-06, 0.74253E-05, 0.30067E-06, 0.72832E-05, 33.836
   8.30000000000000000000, -0.14215E-04, 0.30974E-06, 0.72447E-05, 0.28674E-06, 0.71073E-05, 33.375
   8.40000000000000000000, -0.13875E-04, 0.29552E-06, 0.70706E-05, 0.27360E-06, 0.69377E-05, 32.926
   8.50000000000000000000, -0.13548E-04, 0.28210E-06, 0.69027E-05, 0.26121E-06, 0.67740E-05, 32.491
   8.60000000000000000000, -0.13232E-04, 0.26943E-06, 0.67406E-05, 0.24950E-06, 0.66161E-05, 32.068
   8.70000000000000000000, -0.12927E-04, 0.25746E-06, 0.65842E-05, 0.23844E-06, 0.64637E-05, 31.656
   8.80000000000000000000, -0.12633E-04, 0.24615E-06, 0.64332E-05, 0.22799E-06, 0.63164E-05, 31.255
   8.90000000000000000000, -0.12348E-04, 0.23545E-06, 0.62873E-05, 0.21810E-06, 0.61741E-05, 30.865
   9.00000000000000000000, -0.12073E-04, 0.22532E-06, 0.61463E-05, 0.20874E-06, 0.60366E-05, 30.486
   9.10000000000000000000, -0.11807E-04, 0.21573E-06, 0.60100E-05, 0.19987E-06, 0.59036E-05, 30.116
   9.20000000000000000000, -0.11550E-04, 0.20664E-06, 0.58781E-05, 0.19147E-06, 0.57749E-05, 29.755
   9.30000000000000000000, -0.11301E-04, 0.19802E-06, 0.57506E-05, 0.18350E-06, 0.56504E-05, 29.404
